Order_ID,Order_Date,Customer_ID,Product_Name,Category,Quantity,Unit_Price,Region,Payment_Method,Total_Revenue,Year,Month_Num,Year_Month,Month_Name,Quarter,Day_Of_Week,Hour_Of_Day
ORD-10622,2025-01-10 00:00:00,CUST-983,Smart LED Desk Lamp,Home & Kitchen,2,39.99,Europe,Crypto,79.98,2025,1,2025-01,Jan,2025Q1,Friday,0
ORD-10706,2025-01-10 12:00:00,CUST-700,Standing Desk Converter,Furniture,1,220.0,North America,PayPal,220.0,2025,1,2025-01,Jan,2025Q1,Friday,12
ORD-10990,2025-01-10 16:00:00,CUST-496,Standing Desk Converter,Furniture,4,220.0,Latin America,PayPal,880.0,2025,1,2025-01,Jan,2025Q1,Friday,16
ORD-10611,2025-01-10 20:00:00,CUST-540,Wireless Vertical Mouse,Electronics,4,49.99,North America,Unspecified,199.96,2025,1,2025-01,Jan,2025Q1,Friday,20
ORD-11244,2025-01-11 00:00:00,CUST-680,Mechanical Gaming Keyboard,Electronics,4,119.0,Asia-Pacific,Bank Transfer,476.0,2025,1,2025-01,Jan,2025Q1,Saturday,0
ORD-10865,2025-01-11 00:00:00,CUST-881,Wireless Noise-Canceling Headphones,Audio & Accessories,2,249.5,North America,PayPal,499.0,2025,1,2025-01,Jan,2025Q1,Saturday,0
ORD-10072,2025-01-11 00:00:00,CUST-375,HD Webcam 1080p,Electronics,1,69.99,Middle East,Credit Card,69.99,2025,1,2025-01,Jan,2025Q1,Saturday,0
ORD-10100,2025-01-11 00:00:00,CUST-349,Stainless Steel Water Bottle,Home & Kitchen,1,25.0,Europe,Crypto,25.0,2025,1,2025-01,Jan,2025Q1,Saturday,0
ORD-10949,2025-01-11 00:00:00,CUST-178,USB-C Multi-Port Hub,Audio & Accessories,3,45.0,Europe,Credit Card,135.0,2025,1,2025-01,Jan,2025Q1,Saturday,0
ORD-10817,2025-01-11 14:00:00,CUST-649,Standing Desk Converter,Furniture,2,220.0,Middle East,Debit Card,440.0,2025,1,2025-01,Jan,2025Q1,Saturday,14
ORD-10617,2025-01-11 19:00:00,CUST-122,Noise-Isolating Earbuds,Audio & Accessories,1,29.99,Asia-Pacific,Debit Card,29.99,2025,1,2025-01,Jan,2025Q1,Saturday,19
ORD-10984,2025-01-12 00:00:00,CUST-396,HD Webcam 1080p,Electronics,4,69.99,Asia-Pacific,Debit Card,279.96,2025,1,2025-01,Jan,2025Q1,Sunday,0
ORD-10193,2025-01-12 12:00:00,CUST-836,Ergonomic Office Chair,Furniture,3,349.99,Middle East,Debit Card,1049.97,2025,1,2025-01,Jan,2025Q1,Sunday,12
ORD-10702,2025-01-12 13:00:00,CUST-524,USB-C Multi-Port Hub,Audio & Accessories,1,45.0,North America,Crypto,45.0,2025,1,2025-01,Jan,2025Q1,Sunday,13
ORD-11455,2025-01-12 20:00:00,CUST-211,Wireless Vertical Mouse,Electronics,7,49.99,Asia-Pacific,PayPal,349.93,2025,1,2025-01,Jan,2025Q1,Sunday,20
ORD-10774,2025-01-13 00:00:00,CUST-439,Stainless Steel Water Bottle,Home & Kitchen,4,25.0,Asia-Pacific,PayPal,100.0,2025,1,2025-01,Jan,2025Q1,Monday,0
ORD-10722,2025-01-13 00:00:00,CUST-442,USB-C Multi-Port Hub,Audio & Accessories,1,45.0,Asia-Pacific,PayPal,45.0,2025,1,2025-01,Jan,2025Q1,Monday,0
ORD-11120,2025-01-14 00:00:00,CUST-677,Smart LED Desk Lamp,Home & Kitchen,6,39.99,Asia-Pacific,Bank Transfer,239.94,2025,1,2025-01,Jan,2025Q1,Tuesday,0
ORD-11322,2025-01-15 00:00:00,CUST-482,Smart Fitness Watch V2,Electronics,5,199.95,Latin America,Debit Card,999.75,2025,1,2025-01,Jan,2025Q1,Wednesday,0
ORD-10158,2025-01-15 09:00:00,CUST-756,Noise-Isolating Earbuds,Audio & Accessories,1,29.99,Middle East,Bank Transfer,29.99,2025,1,2025-01,Jan,2025Q1,Wednesday,9
ORD-10407,2025-01-15 15:00:00,CUST-169,USB-C Multi-Port Hub,Audio & Accessories,1,45.0,Latin America,PayPal,45.0,2025,1,2025-01,Jan,2025Q1,Wednesday,15
ORD-11160,2025-01-15 20:00:00,CUST-129,4K Ultra HD Smart Monitor 27in,Electronics,5,450.0,Latin America,Credit Card,2250.0,2025,1,2025-01,Jan,2025Q1,Wednesday,20
ORD-10498,2025-01-16 00:00:00,CUST-741,Mechanical Gaming Keyboard,Electronics,9,119.0,Middle East,PayPal,1071.0,2025,1,2025-01,Jan,2025Q1,Thursday,0
ORD-10927,2025-01-16 09:00:00,CUST-430,Bluetooth Portable Speaker,Audio & Accessories,2,89.99,Latin America,PayPal,179.98,2025,1,2025-01,Jan,2025Q1,Thursday,9
ORD-10979,2025-01-16 10:00:00,CUST-815,Smart Fitness Watch V2,Electronics,3,199.95,Latin America,Debit Card,599.85,2025,1,2025-01,Jan,2025Q1,Thursday,10
ORD-11105,2025-01-16 10:00:00,CUST-270,USB-C Multi-Port Hub,Audio & Accessories,1,45.0,Middle East,Bank Transfer,45.0,2025,1,2025-01,Jan,2025Q1,Thursday,10
ORD-10999,2025-01-17 00:00:00,CUST-126,UltraBook Pro 15,Electronics,2,1299.99,Middle East,Bank Transfer,2599.98,2025,1,2025-01,Jan,2025Q1,Friday,0
ORD-10912,2025-01-17 08:00:00,CUST-909,Noise-Isolating Earbuds,Audio & Accessories,3,29.99,Asia-Pacific,Crypto,89.97,2025,1,2025-01,Jan,2025Q1,Friday,8
ORD-10567,2025-01-17 12:00:00,CUST-376,Espresso Coffee Machine,Home & Kitchen,2,499.0,Middle East,Crypto,998.0,2025,1,2025-01,Jan,2025Q1,Friday,12
ORD-11307,2025-01-17 15:00:00,CUST-131,HD Webcam 1080p,Electronics,4,69.99,Asia-Pacific,Debit Card,279.96,2025,1,2025-01,Jan,2025Q1,Friday,15
ORD-10435,2025-01-18 11:00:00,CUST-889,USB-C Multi-Port Hub,Audio & Accessories,3,45.0,North America,Crypto,135.0,2025,1,2025-01,Jan,2025Q1,Saturday,11
ORD-11460,2025-01-18 19:00:00,CUST-185,Noise-Isolating Earbuds,Audio & Accessories,2,29.99,Middle East,Crypto,59.98,2025,1,2025-01,Jan,2025Q1,Saturday,19
ORD-11249,2025-01-19 00:00:00,CUST-813,USB-C Multi-Port Hub,Audio & Accessories,3,45.0,Latin America,Bank Transfer,135.0,2025,1,2025-01,Jan,2025Q1,Sunday,0
ORD-11004,2025-01-19 13:00:00,CUST-964,USB-C Multi-Port Hub,Audio & Accessories,4,45.0,Middle East,PayPal,180.0,2025,1,2025-01,Jan,2025Q1,Sunday,13
ORD-10502,2025-01-19 15:00:00,CUST-UNKNOWN,Mechanical Gaming Keyboard,Electronics,1,119.0,Middle East,Credit Card,119.0,2025,1,2025-01,Jan,2025Q1,Sunday,15
ORD-10346,2025-01-19 16:00:00,CUST-945,Stainless Steel Water Bottle,Home & Kitchen,3,25.0,North America,Crypto,75.0,2025,1,2025-01,Jan,2025Q1,Sunday,16
ORD-11239,2025-01-19 18:00:00,CUST-UNKNOWN,Bluetooth Portable Speaker,Audio & Accessories,1,89.99,North America,Credit Card,89.99,2025,1,2025-01,Jan,2025Q1,Sunday,18
ORD-10547,2025-01-19 19:00:00,CUST-769,Ergonomic Office Chair,Furniture,3,349.99,North America,Debit Card,1049.97,2025,1,2025-01,Jan,2025Q1,Sunday,19
ORD-11387,2025-01-20 00:00:00,CUST-693,Noise-Isolating Earbuds,Audio & Accessories,1,29.99,Asia-Pacific,Debit Card,29.99,2025,1,2025-01,Jan,2025Q1,Monday,0
ORD-10331,2025-01-20 00:00:00,CUST-361,Espresso Coffee Machine,Home & Kitchen,4,499.0,Middle East,Crypto,1996.0,2025,1,2025-01,Jan,2025Q1,Monday,0
ORD-11158,2025-01-20 08:00:00,CUST-314,Mechanical Gaming Keyboard,Electronics,5,119.0,Asia-Pacific,Bank Transfer,595.0,2025,1,2025-01,Jan,2025Q1,Monday,8
ORD-11283,2025-01-21 11:00:00,CUST-313,Standing Desk Converter,Furniture,1,220.0,Europe,Crypto,220.0,2025,1,2025-01,Jan,2025Q1,Tuesday,11
ORD-10031,2025-01-21 13:00:00,CUST-355,Noise-Isolating Earbuds,Audio & Accessories,1,29.99,North America,Bank Transfer,29.99,2025,1,2025-01,Jan,2025Q1,Tuesday,13
ORD-11444,2025-01-21 16:00:00,CUST-126,Smart Fitness Watch V2,Electronics,5,199.95,North America,Crypto,999.75,2025,1,2025-01,Jan,2025Q1,Tuesday,16
ORD-11351,2025-01-22 00:00:00,CUST-239,Stainless Steel Water Bottle,Home & Kitchen,3,25.0,North America,Bank Transfer,75.0,2025,1,2025-01,Jan,2025Q1,Wednesday,0
ORD-11467,2025-01-22 13:00:00,CUST-896,Standing Desk Converter,Furniture,2,220.0,Asia-Pacific,PayPal,440.0,2025,1,2025-01,Jan,2025Q1,Wednesday,13
ORD-10117,2025-01-22 14:00:00,CUST-179,Smart Fitness Watch V2,Electronics,1,199.95,Asia-Pacific,Crypto,199.95,2025,1,2025-01,Jan,2025Q1,Wednesday,14
ORD-10546,2025-01-22 14:00:00,CUST-926,UltraBook Pro 15,Electronics,1,1299.99,Middle East,Debit Card,1299.99,2025,1,2025-01,Jan,2025Q1,Wednesday,14
ORD-10647,2025-01-22 17:00:00,CUST-273,Smart Fitness Watch V2,Electronics,3,199.95,Middle East,Debit Card,599.85,2025,1,2025-01,Jan,2025Q1,Wednesday,17
ORD-10627,2025-01-22 19:00:00,CUST-120,Bluetooth Portable Speaker,Audio & Accessories,4,89.99,North America,Credit Card,359.96,2025,1,2025-01,Jan,2025Q1,Wednesday,19
ORD-11065,2025-01-23 00:00:00,CUST-380,Stainless Steel Water Bottle,Home & Kitchen,4,25.0,North America,Crypto,100.0,2025,1,2025-01,Jan,2025Q1,Thursday,0
ORD-10853,2025-01-23 10:00:00,CUST-663,Bluetooth Portable Speaker,Audio & Accessories,6,89.99,Asia-Pacific,Crypto,539.94,2025,1,2025-01,Jan,2025Q1,Thursday,10
ORD-11362,2025-01-23 12:00:00,CUST-236,Standing Desk Converter,Furniture,3,220.0,Europe,Debit Card,660.0,2025,1,2025-01,Jan,2025Q1,Thursday,12
ORD-10394,2025-01-23 19:00:00,CUST-334,Bluetooth Portable Speaker,Audio & Accessories,1,89.99,Latin America,Debit Card,89.99,2025,1,2025-01,Jan,2025Q1,Thursday,19
ORD-10796,2025-01-24 00:00:00,CUST-794,Smart Fitness Watch V2,Electronics,7,199.95,Latin America,PayPal,1399.65,2025,1,2025-01,Jan,2025Q1,Friday,0
ORD-10950,2025-01-24 08:00:00,CUST-397,Ergonomic Office Chair,Furniture,3,349.99,Europe,Crypto,1049.97,2025,1,2025-01,Jan,2025Q1,Friday,8
ORD-10503,2025-01-24 09:00:00,CUST-774,Wireless Noise-Canceling Headphones,Audio & Accessories,4,249.5,Asia-Pacific,Credit Card,998.0,2025,1,2025-01,Jan,2025Q1,Friday,9
ORD-10349,2025-01-24 10:00:00,CUST-941,Smart Fitness Watch V2,Electronics,3,199.95,Latin America,Credit Card,599.85,2025,1,2025-01,Jan,2025Q1,Friday,10
ORD-11037,2025-01-24 12:00:00,CUST-326,Smart Fitness Watch V2,Electronics,3,199.95,Middle East,PayPal,599.85,2025,1,2025-01,Jan,2025Q1,Friday,12
ORD-10004,2025-01-24 18:00:00,CUST-396,Ergonomic Office Chair,Furniture,1,349.99,North America,PayPal,349.99,2025,1,2025-01,Jan,2025Q1,Friday,18
ORD-10738,2025-01-24 20:00:00,CUST-293,Stainless Steel Water Bottle,Home & Kitchen,2,25.0,Middle East,Bank Transfer,50.0,2025,1,2025-01,Jan,2025Q1,Friday,20
ORD-10720,2025-01-25 00:00:00,CUST-UNKNOWN,Smart LED Desk Lamp,Home & Kitchen,7,39.99,Latin America,Bank Transfer,279.93,2025,1,2025-01,Jan,2025Q1,Saturday,0
ORD-10195,2025-01-25 00:00:00,CUST-511,Stainless Steel Water Bottle,Home & Kitchen,1,25.0,Latin America,PayPal,25.0,2025,1,2025-01,Jan,2025Q1,Saturday,0
ORD-11216,2025-01-25 16:00:00,CUST-410,Stainless Steel Water Bottle,Home & Kitchen,1,25.0,Latin America,PayPal,25.0,2025,1,2025-01,Jan,2025Q1,Saturday,16
ORD-10144,2025-01-25 18:00:00,CUST-227,Ergonomic Office Chair,Furniture,1,349.99,Asia-Pacific,Debit Card,349.99,2025,1,2025-01,Jan,2025Q1,Saturday,18
ORD-11172,2025-01-25 20:00:00,CUST-652,Wireless Vertical Mouse,Electronics,3,49.99,Europe,Crypto,149.97,2025,1,2025-01,Jan,2025Q1,Saturday,20
ORD-10548,2025-01-26 00:00:00,CUST-199,UltraBook Pro 15,Electronics,2,1299.99,Latin America,Crypto,2599.98,2025,1,2025-01,Jan,2025Q1,Sunday,0
ORD-11496,2025-01-26 00:00:00,CUST-985,4K Ultra HD Smart Monitor 27in,Electronics,3,450.0,Middle East,Bank Transfer,1350.0,2025,1,2025-01,Jan,2025Q1,Sunday,0
ORD-10488,2025-01-26 09:00:00,CUST-282,Smart Fitness Watch V2,Electronics,7,199.95,Europe,Bank Transfer,1399.65,2025,1,2025-01,Jan,2025Q1,Sunday,9
ORD-10459,2025-01-26 16:00:00,CUST-187,Wireless Noise-Canceling Headphones,Audio & Accessories,1,249.5,Latin America,Crypto,249.5,2025,1,2025-01,Jan,2025Q1,Sunday,16
ORD-10022,2025-01-26 17:00:00,CUST-973,Bluetooth Portable Speaker,Audio & Accessories,1,89.99,Middle East,PayPal,89.99,2025,1,2025-01,Jan,2025Q1,Sunday,17
ORD-11281,2025-01-27 00:00:00,CUST-330,Stainless Steel Water Bottle,Home & Kitchen,3,25.0,Latin America,Credit Card,75.0,2025,1,2025-01,Jan,2025Q1,Monday,0
ORD-10363,2025-01-27 00:00:00,CUST-730,Noise-Isolating Earbuds,Audio & Accessories,2,29.99,Asia-Pacific,Debit Card,59.98,2025,1,2025-01,Jan,2025Q1,Monday,0
ORD-10848,2025-01-27 12:00:00,CUST-472,USB-C Multi-Port Hub,Audio & Accessories,2,45.0,Asia-Pacific,Bank Transfer,90.0,2025,1,2025-01,Jan,2025Q1,Monday,12
ORD-10109,2025-01-27 12:00:00,CUST-460,Smart LED Desk Lamp,Home & Kitchen,1,39.99,North America,Crypto,39.99,2025,1,2025-01,Jan,2025Q1,Monday,12
ORD-10170,2025-01-27 17:00:00,CUST-636,HD Webcam 1080p,Electronics,3,69.99,Middle East,Debit Card,209.97,2025,1,2025-01,Jan,2025Q1,Monday,17
ORD-10517,2025-01-28 00:00:00,CUST-940,4K Ultra HD Smart Monitor 27in,Electronics,4,450.0,Asia-Pacific,Credit Card,1800.0,2025,1,2025-01,Jan,2025Q1,Tuesday,0
ORD-11497,2025-01-28 11:00:00,CUST-798,Wireless Vertical Mouse,Electronics,2,49.99,Asia-Pacific,Credit Card,99.98,2025,1,2025-01,Jan,2025Q1,Tuesday,11
ORD-10559,2025-01-28 14:00:00,CUST-724,Ergonomic Office Chair,Furniture,3,349.99,Latin America,PayPal,1049.97,2025,1,2025-01,Jan,2025Q1,Tuesday,14
ORD-10700,2025-01-28 17:00:00,CUST-868,Bluetooth Portable Speaker,Audio & Accessories,2,89.99,Latin America,Crypto,179.98,2025,1,2025-01,Jan,2025Q1,Tuesday,17
ORD-10568,2025-01-29 00:00:00,CUST-790,Smart Fitness Watch V2,Electronics,6,199.95,Asia-Pacific,Credit Card,1199.7,2025,1,2025-01,Jan,2025Q1,Wednesday,0
ORD-10189,2025-01-29 15:00:00,CUST-525,Bluetooth Portable Speaker,Audio & Accessories,1,89.99,Latin America,Crypto,89.99,2025,1,2025-01,Jan,2025Q1,Wednesday,15
ORD-11488,2025-01-29 17:00:00,CUST-182,Wireless Noise-Canceling Headphones,Audio & Accessories,2,249.5,Asia-Pacific,Crypto,499.0,2025,1,2025-01,Jan,2025Q1,Wednesday,17
ORD-11369,2025-01-30 14:00:00,CUST-542,Smart Fitness Watch V2,Electronics,1,199.95,Europe,Debit Card,199.95,2025,1,2025-01,Jan,2025Q1,Thursday,14
ORD-10199,2025-01-30 16:00:00,CUST-526,Espresso Coffee Machine,Home & Kitchen,4,499.0,Middle East,Crypto,1996.0,2025,1,2025-01,Jan,2025Q1,Thursday,16
ORD-10439,2025-01-31 13:00:00,CUST-818,Smart LED Desk Lamp,Home & Kitchen,1,39.99,Middle East,Credit Card,39.99,2025,1,2025-01,Jan,2025Q1,Friday,13
ORD-11409,2025-01-31 14:00:00,CUST-782,USB-C Multi-Port Hub,Audio & Accessories,5,45.0,Latin America,PayPal,225.0,2025,1,2025-01,Jan,2025Q1,Friday,14
ORD-10260,2025-01-31 20:00:00,CUST-393,4K Ultra HD Smart Monitor 27in,Electronics,3,450.0,Middle East,Debit Card,1350.0,2025,1,2025-01,Jan,2025Q1,Friday,20
ORD-10047,2025-02-01 00:00:00,CUST-498,Bluetooth Portable Speaker,Audio & Accessories,2,89.99,Middle East,Unspecified,179.98,2025,2,2025-02,Feb,2025Q1,Saturday,0
ORD-11415,2025-02-01 00:00:00,CUST-161,Standing Desk Converter,Furniture,7,220.0,Latin America,Crypto,1540.0,2025,2,2025-02,Feb,2025Q1,Saturday,0
ORD-11430,2025-02-01 18:00:00,CUST-733,Mechanical Gaming Keyboard,Electronics,2,119.0,Europe,Credit Card,238.0,2025,2,2025-02,Feb,2025Q1,Saturday,18
ORD-11005,2025-02-02 15:00:00,CUST-884,Bluetooth Portable Speaker,Audio & Accessories,3,89.99,Asia-Pacific,Bank Transfer,269.97,2025,2,2025-02,Feb,2025Q1,Sunday,15
ORD-11199,2025-02-03 10:00:00,CUST-559,USB-C Multi-Port Hub,Audio & Accessories,1,45.0,Middle East,Credit Card,45.0,2025,2,2025-02,Feb,2025Q1,Monday,10
ORD-10616,2025-02-03 12:00:00,CUST-273,Wireless Noise-Canceling Headphones,Audio & Accessories,1,249.5,North America,Crypto,249.5,2025,2,2025-02,Feb,2025Q1,Monday,12
ORD-11211,2025-02-03 13:00:00,CUST-244,Wireless Noise-Canceling Headphones,Audio & Accessories,2,249.5,Europe,Debit Card,499.0,2025,2,2025-02,Feb,2025Q1,Monday,13
ORD-11260,2025-02-03 17:00:00,CUST-959,HD Webcam 1080p,Electronics,1,69.99,Asia-Pacific,Debit Card,69.99,2025,2,2025-02,Feb,2025Q1,Monday,17
ORD-11175,2025-02-04 00:00:00,CUST-243,Espresso Coffee Machine,Home & Kitchen,2,499.0,Europe,Debit Card,998.0,2025,2,2025-02,Feb,2025Q1,Tuesday,0
ORD-10609,2025-02-04 00:00:00,CUST-283,UltraBook Pro 15,Electronics,3,1299.99,Latin America,Crypto,3899.97,2025,2,2025-02,Feb,2025Q1,Tuesday,0
ORD-10305,2025-02-04 09:00:00,CUST-506,Noise-Isolating Earbuds,Audio & Accessories,9,29.99,Middle East,Unspecified,269.91,2025,2,2025-02,Feb,2025Q1,Tuesday,9
ORD-11225,2025-02-04 11:00:00,CUST-479,Wireless Noise-Canceling Headphones,Audio & Accessories,3,249.5,Latin America,PayPal,748.5,2025,2,2025-02,Feb,2025Q1,Tuesday,11
ORD-11126,2025-02-04 12:00:00,CUST-647,Stainless Steel Water Bottle,Home & Kitchen,1,25.0,Middle East,Credit Card,25.0,2025,2,2025-02,Feb,2025Q1,Tuesday,12
ORD-11358,2025-02-04 13:00:00,CUST-UNKNOWN,Wireless Vertical Mouse,Electronics,1,49.99,Middle East,PayPal,49.99,2025,2,2025-02,Feb,2025Q1,Tuesday,13
ORD-10122,2025-02-04 15:00:00,CUST-410,Smart Fitness Watch V2,Electronics,1,199.95,Asia-Pacific,Crypto,199.95,2025,2,2025-02,Feb,2025Q1,Tuesday,15
ORD-10140,2025-02-04 16:00:00,CUST-UNKNOWN,Bluetooth Portable Speaker,Audio & Accessories,8,89.99,Middle East,Crypto,719.92,2025,2,2025-02,Feb,2025Q1,Tuesday,16
ORD-10226,2025-02-05 00:00:00,CUST-789,4K Ultra HD Smart Monitor 27in,Electronics,9,450.0,Latin America,PayPal,4050.0,2025,2,2025-02,Feb,2025Q1,Wednesday,0
ORD-10542,2025-02-05 16:00:00,CUST-493,Standing Desk Converter,Furniture,1,220.0,Latin America,Credit Card,220.0,2025,2,2025-02,Feb,2025Q1,Wednesday,16
ORD-10809,2025-02-06 00:00:00,CUST-389,Smart LED Desk Lamp,Home & Kitchen,1,39.99,Europe,Crypto,39.99,2025,2,2025-02,Feb,2025Q1,Thursday,0
ORD-11320,2025-02-06 00:00:00,CUST-978,Bluetooth Portable Speaker,Audio & Accessories,1,89.99,Middle East,PayPal,89.99,2025,2,2025-02,Feb,2025Q1,Thursday,0
ORD-10421,2025-02-06 09:00:00,CUST-333,Standing Desk Converter,Furniture,4,220.0,Asia-Pacific,Bank Transfer,880.0,2025,2,2025-02,Feb,2025Q1,Thursday,9
ORD-10016,2025-02-06 16:00:00,CUST-785,UltraBook Pro 15,Electronics,1,1299.99,Latin America,PayPal,1299.99,2025,2,2025-02,Feb,2025Q1,Thursday,16
